0.01	100	0.55875	0.77588	0.65125	1.4516
1	100	0.37625	0.6413	0.48938	1.3223
100	100	0.40313	0.66393	0.47187	0.68495
0.01	50	0.53563	0.76433	0.63	0.56796
1	50	0.425	0.67098	0.49812	0.54441
100	50	0.49938	0.72698	0.555	0.53554
0.01	100	0.55875	0.77588	0.65125	0.91
1	100	0.37625	0.6413	0.48938	2.2105
100	100	0.40313	0.66393	0.47187	0.65887
0.01	100	0.55875	0.77588	0.65125	1.1677
10	100	0.56708	0.5429	0.59588	1.2892
